position,time,mean_hi
19,34,0.0
19,40,0.0
19,140,0.0
20,10,0.0
20,16,0.0
20,22,0.0
20,28,0.0
20,34,0.0
20,40,0.0
20,140,0.0
21,10,0.0
21,16,0.0
21,22,0.0
21,28,0.0
21,34,0.0
21,40,0.0
21,140,0.0
22,10,0.0
22,16,0.0
22,22,0.0
22,28,0.0
22,34,0.0
22,40,0.0
22,140,0.0
23,10,0.0
23,16,0.0
23,22,0.0
23,28,0.0
23,34,0.0
23,40,0.0
23,140,0.0
24,10,0.0
24,16,0.0
24,22,0.0
24,28,0.0
24,34,0.0
24,40,0.0
24,140,0.0
25,10,0.011056541203466956
25,16,0.019758185066058895
25,22,0.021401372530224252
25,28,0.037602172639818784
25,34,0.04425131856632705
25,40,0.046816289300807695
25,140,0.25986361148249437
26,10,0.08176015612697818
26,16,0.15038027461053985
26,22,0.2255868138675517
26,28,0.26985578868691956
26,34,0.2937294459692415
26,40,0.3420486417698812
26,140,0.9692154251179155
27,10,0.005963592716722381
27,16,0.012193566561536032
27,22,0.02019530790077107
27,28,0.02688837043603755
27,34,0.040112924000024974
27,40,0.04307377985959565
27,140,0.19159983679844997
28,10,-0.010693100394078406
28,16,-0.008918525838065272
28,22,-0.016471354213139045
28,28,-0.024686329352141816
28,34,-0.029641208757038778
28,40,-0.042007441441051264
28,140,-0.13281408004539638
29,10,-0.016074696210119525
29,16,0.0035466324623261423
29,22,0.005415696848658472
29,28,-0.0018121231590409984
29,34,0.009076841174842164
29,40,0.016795797188061977
29,140,0.01168979434573934
30,10,0.0018902272369407155
30,16,0.0016234370705042172
30,22,-0.0017132182076527935
30,28,-0.002926241452835244
30,34,-0.0025626438389981594
30,40,-0.002586167784191481
30,140,0.01866250826315191
31,10,-0.020282225350579393
31,16,-0.034594763469863
31,22,-0.05517046922366237
31,28,-0.055309622205329395
31,34,-0.06952571394970859
31,40,-0.07153224681192938
31,140,-0.013523399660467589
32,10,-0.01429859613772502
32,16,-0.00878734832416848
32,22,-0.01673832071556527
32,28,-0.009116881805437353
32,34,0.007164806388705692
32,40,0.027229226594194106
32,140,0.19035538155248236
33,10,0.0
33,16,0.0
33,22,0.0
33,28,0.0
33,34,0.0
33,40,0.0
33,140,0.0
34,10,0.0
34,16,0.0
34,22,0.0
34,28,0.0
34,34,0.0
34,40,0.0
34,140,0.0
35,10,0.0
35,16,0.0
35,22,0.0
35,28,0.0
35,34,0.0
35,40,0.0
35,140,0.0
36,10,0.0
36,16,0.0
36,22,0.0
36,28,0.0
36,34,0.0
36,40,0.0
36,140,0.0
37,10,0.0
37,16,0.0
37,22,0.0
37,28,0.0
37,34,0.0
37,40,0.0
37,140,0.0
38,10,0.0
38,16,0.0
38,22,0.0
38,28,0.0
38,34,0.0
38,40,0.0
38,140,0.0
39,10,0.0
39,16,0.0
39,22,0.0
39,28,0.0
39,34,0.0
39,40,0.0
39,140,0.0
40,10,0.0
40,16,0.0
40,22,0.0
40,28,0.0
40,34,0.0
40,40,0.0
40,140,0.0
41,10,0.0
41,16,0.0
41,22,0.0
41,28,0.0
41,34,0.0
41,40,0.0
41,140,0.0
42,10,0.0
42,16,0.0
42,22,0.0
42,28,0.0
42,34,0.0
42,40,0.0
42,140,0.0
43,10,0.0
43,16,0.0
43,22,0.0
43,28,0.0
43,34,0.0
43,40,0.0
43,140,0.0
44,10,0.0
44,16,0.0
44,22,0.0
44,28,0.0
44,34,0.0
44,40,0.0
44,140,0.0
45,10,0.0
45,16,0.0
45,22,0.0
45,28,0.0
45,34,0.0
45,40,0.0
45,140,0.0
46,10,0.0
46,16,0.0
46,22,0.0
46,28,0.0
46,34,0.0
46,40,0.0
46,140,0.0
47,10,0.0
47,16,0.0
47,22,0.0
47,28,0.0
47,34,0.0
47,40,0.0
47,140,0.0
48,10,0.0
48,16,0.0
48,22,0.0
48,28,0.0
48,34,0.0
48,40,0.0
48,140,0.0
49,10,-0.013015936941618353
49,16,-0.011258530639558756
49,22,-0.011474929229518418
49,28,-0.013215154859145121
49,34,-0.0016761593529719073
49,40,0.004766866371106903
49,140,0.013978940872748705
50,10,0.0053402960979170135
50,16,0.00769897365064476
50,22,0.008992614273601148
50,28,0.01717034604489335
50,34,0.020530180751822818
50,40,0.015879156700491368
50,140,0.13319529945301642
51,10,-0.014590466154927262
51,16,-0.015624486236941088
51,22,-0.010512015652290508
51,28,-0.015808068946695255
51,34,-0.027266852229898088
51,40,-0.05164372141629448
51,140,-0.1651291636366234
52,10,-0.006356295915072799
52,16,-0.009670111051316349
52,22,-0.004882026500776933
52,28,0.0027490896578984984
52,34,-0.0025085633303165342
52,40,0.019437804888945552
52,140,0.08126818616573596
53,10,0.002069007025347406
53,16,-0.00991189128322665
53,22,-0.007815274773839942
53,28,-0.007151063631290574
53,34,-0.0013550397566548758
53,40,0.02262772136727412
53,140,0.6037326796246815
54,10,-0.013553887602226693
54,16,-0.02882480463865619
54,22,-0.03619546483949367
54,28,-0.04895249790126241
54,34,-0.04064071796628789
54,40,-0.03323667602341977
54,140,-0.11348203418718406
55,10,0.022836734893688437
55,16,0.043876287648753634
55,22,0.06839646729842411
55,28,0.0675428150484673
55,34,0.09379957437175501
55,40,0.1123270890734362
55,140,0.277708962278605
56,10,0.016321788342485943
56,16,0.029966379555761702
56,22,0.054854159848738274
56,28,0.06187323164876615
56,34,0.07818061860369224
56,40,0.08843108959738874
56,140,0.16675237289060527
57,10,0.0
57,16,0.0
57,22,0.0
57,28,0.0
57,34,0.0
57,40,0.0
57,140,0.0
58,10,0.0
58,16,0.0
58,22,0.0
58,28,0.0
58,34,0.0
58,40,0.0
58,140,0.0
59,10,0.0
59,16,0.0
59,22,0.0
59,28,0.0
59,34,0.0
59,40,0.0
59,140,0.0
60,10,0.0
60,16,0.0
60,22,0.0
60,28,0.0
60,34,0.0
60,40,0.0
60,140,0.0
61,10,0.0
61,16,0.0
61,22,0.0
61,28,0.0
61,34,0.0
61,40,0.0
61,140,0.0
62,10,0.0
62,16,0.0
62,22,0.0
62,28,0.0
62,34,0.0
62,40,0.0
62,140,0.0
63,10,0.0
63,16,0.0
63,22,0.0
63,28,0.0
63,34,0.0
63,40,0.0
63,140,0.0
64,10,0.0
64,16,0.0
64,22,0.0
64,28,0.0
64,34,0.0
64,40,0.0
64,140,0.0
65,10,0.0
65,16,0.0
65,22,0.0
65,28,0.0
65,34,0.0
65,40,0.0
65,140,0.0
66,10,0.0
66,16,0.0
66,22,0.0
66,28,0.0
66,34,0.0
66,40,0.0
66,140,0.0
67,10,0.0
67,16,0.0
67,22,0.0
67,28,0.0
67,34,0.0
67,40,0.0
67,140,0.0
68,10,0.0
68,16,0.0
68,22,0.0
68,28,0.0
68,34,0.0
68,40,0.0
68,140,0.0
69,10,0.0
69,16,0.0
69,22,0.0
69,28,0.0
69,34,0.0
69,40,0.0
69,140,0.0
70,10,0.0
70,16,0.0
70,22,0.0
70,28,0.0
70,34,0.0
70,40,0.0
70,140,0.0
71,10,0.0
71,16,0.0
71,22,0.0
71,28,0.0
71,34,0.0
71,40,0.0
71,140,0.0
72,10,0.0
72,16,0.0
72,22,0.0
72,28,0.0
72,34,0.0
72,40,0.0
72,140,0.0
73,10,0.0
73,16,0.0
73,22,0.0
73,28,0.0
73,34,0.0
73,40,0.0
73,140,0.0
74,10,0.0
74,16,0.0
74,22,0.0
74,28,0.0
74,34,0.0
74,40,0.0
74,140,0.0
75,10,0.0
75,16,0.0
75,22,0.0
75,28,0.0
75,34,0.0
75,40,0.0
75,140,0.0
76,10,0.0
76,16,0.0
76,22,0.0
76,28,0.0
76,34,0.0
76,40,0.0
76,140,0.0
77,10,0.0
77,16,0.0
77,22,0.0
77,28,0.0
77,34,0.0
77,40,0.0
77,140,0.0
78,10,0.0
78,16,0.0
78,22,0.0
78,28,0.0
78,34,0.0
78,40,0.0
78,140,0.0
79,10,0.0
79,16,0.0
79,22,0.0
79,28,0.0
79,34,0.0
79,40,0.0
79,140,0.0
80,10,0.0
80,16,0.0
80,22,0.0
80,28,0.0
80,34,0.0
80,40,0.0
80,140,0.0
81,10,0.0
81,16,0.0
81,22,0.0
81,28,0.0
81,34,0.0
81,40,0.0
81,140,0.0
82,10,0.0
82,16,0.0
82,22,0.0
82,28,0.0
82,34,0.0
82,40,0.0
82,140,0.0
83,10,0.0
83,16,0.0
83,22,0.0
83,28,0.0
83,34,0.0
83,40,0.0
83,140,0.0
84,10,0.0
84,16,0.0
84,22,0.0
84,28,0.0
84,34,0.0
84,40,0.0
84,140,0.0
85,10,0.0
85,16,0.0
85,22,0.0
85,28,0.0
85,34,0.0
85,40,0.0
85,140,0.0
86,10,0.0
86,16,0.0
86,22,0.0
86,28,0.0
86,34,0.0
86,40,0.0
86,140,0.0
87,10,0.0
87,16,0.0
87,22,0.0
87,28,0.0
87,34,0.0
87,40,0.0
87,140,0.0
88,10,0.0
88,16,0.0
88,22,0.0
88,28,0.0
88,34,0.0
88,40,0.0
88,140,0.0
89,10,0.0
89,16,0.0
89,22,0.0
89,28,0.0
89,34,0.0
89,40,0.0
89,140,0.0
90,10,0.0
90,16,0.0
90,22,0.0
90,28,0.0
90,34,0.0
90,40,0.0
90,140,0.0
91,10,0.0
91,16,0.0
91,22,0.0
91,28,0.0
91,34,0.0
91,40,0.0
91,140,0.0
92,10,0.0
92,16,0.0
92,22,0.0
92,28,0.0
92,34,0.0
92,40,0.0
92,140,0.0
93,10,0.0
93,16,0.0
93,22,0.0
93,28,0.0
93,34,0.0
93,40,0.0
93,140,0.0
94,10,0.0
94,16,0.0
94,22,0.0
94,28,0.0
94,34,0.0
94,40,0.0
94,140,0.0
95,10,-0.004326292919337447
95,16,0.02935184740363437
95,22,0.03984056670309539
95,28,0.07565285355832567
95,34,0.09714757307906995
95,40,0.07602205305931631
95,140,0.04680791620876766
96,10,-0.013863446763525713
96,16,-0.006093353173401577
96,22,-0.020566774811806767
96,28,-0.02606503056362457
96,34,-0.0115103558694022
96,40,-0.028155702235103653
96,140,-0.17786145368410897
97,10,-0.012171013460678955
97,16,-0.027439629574743128
97,22,-0.023332681167432458
97,28,-0.03247643744952398
97,34,-0.05070866827026273
97,40,-0.03514989303179516
97,140,-0.11900339057087533
98,10,0.0029913834270264904
98,16,0.011362461094140807
98,22,0.018915578396118328
98,28,0.015539610180567914
98,34,0.008824138128158689
98,40,0.01801960997736592
98,140,0.08602875720019111
99,10,-0.017525100940371453
99,16,-0.03166742682289972
99,22,-0.029487257715606587
99,28,-0.03529942080756911
99,34,-0.06302644441741424
99,40,-0.038787101493419206
99,140,0.18580335478687793
100,10,-0.006651563243715216
100,16,-0.011609834508042843
100,22,0.0020901173346575736
100,28,0.004609302780930646
100,34,-0.013494393477401312
100,40,-0.014404880943081757
100,140,-0.14127809771663355
101,10,0.0
101,16,0.0
101,22,0.0
101,28,0.0
101,34,0.0
101,40,0.0
101,140,0.0
102,10,0.0
102,16,0.0
102,22,0.0
102,28,0.0
102,34,0.0
102,40,0.0
102,140,0.0
103,10,0.0
103,16,0.0
103,22,0.0
103,28,0.0
103,34,0.0
103,40,0.0
103,140,0.0
104,10,0.0
104,16,0.0
104,22,0.0
104,28,0.0
104,34,0.0
104,40,0.0
104,140,0.0
105,10,0.0
105,16,0.0
105,22,0.0
105,28,0.0
105,34,0.0
105,40,0.0
105,140,0.0
106,10,0.0
106,16,0.0
106,22,0.0
106,28,0.0
106,34,0.0
106,40,0.0
106,140,0.0
107,10,0.0
107,16,0.0
107,22,0.0
107,28,0.0
107,34,0.0
107,40,0.0
107,140,0.0
108,10,0.0
108,16,0.0
108,22,0.0
108,28,0.0
108,34,0.0
108,40,0.0
108,140,0.0
109,10,0.0
109,16,0.0
109,22,0.0
109,28,0.0
109,34,0.0
109,40,0.0
109,140,0.0
110,10,0.0
110,16,0.0
110,22,0.0
110,28,0.0
110,34,0.0
110,40,0.0
110,140,0.0
111,10,0.0
111,16,0.0
111,22,0.0
111,28,0.0
111,34,0.0
111,40,0.0
111,140,0.0
127,10,0.0
127,16,0.0
127,22,0.0
127,28,0.0
127,34,0.0
127,40,0.0
127,140,0.0
128,10,0.0
128,16,0.0
128,22,0.0
128,28,0.0
128,34,0.0
128,40,0.0
128,140,0.0
129,10,0.0
129,16,0.0
129,22,0.0
129,28,0.0
129,34,0.0
129,40,0.0
129,140,0.0
130,10,0.0
130,16,0.0
130,22,0.0
130,28,0.0
130,34,0.0
130,40,0.0
130,140,0.0
131,10,0.0
131,16,0.0
131,22,0.0
131,28,0.0
131,34,0.0
131,40,0.0
131,140,0.0
132,10,0.0
132,16,0.0
132,22,0.0
132,28,0.0
132,34,0.0
132,40,0.0
132,140,0.0
133,10,0.0
133,16,0.0
133,22,0.0
133,28,0.0
133,34,0.0
133,40,0.0
133,140,0.0
134,10,0.0
134,16,0.0
134,22,0.0
134,28,0.0
134,34,0.0
134,40,0.0
134,140,0.0
135,10,0.0
135,16,0.0
135,22,0.0
135,28,0.0
135,34,0.0
135,40,0.0
135,140,0.0
136,10,0.0
136,16,0.0
136,22,0.0
136,28,0.0
136,34,0.0
136,40,0.0
136,140,0.0
137,10,0.0
137,16,0.0
137,22,0.0
137,28,0.0
137,34,0.0
137,40,0.0
137,140,0.0
138,10,0.0
138,16,0.0
138,22,0.0
138,28,0.0
138,34,0.0
138,40,0.0
138,140,0.0
139,10,0.0
139,16,0.0
139,22,0.0
139,28,0.0
139,34,0.0
139,40,0.0
139,140,0.0
140,10,0.0
140,16,0.0
140,22,0.0
140,28,0.0
140,34,0.0
140,40,0.0
140,140,0.0
141,10,0.0
141,16,0.0
141,22,0.0
141,28,0.0
141,34,0.0
141,40,0.0
141,140,0.0
142,10,0.0
142,16,0.0
142,22,0.0
142,28,0.0
142,34,0.0
142,40,0.0
142,140,0.0
143,10,0.0
143,16,0.0
143,22,0.0
143,28,0.0
143,34,0.0
143,40,0.0
143,140,0.0
144,10,0.0
144,16,0.0
144,22,0.0
144,28,0.0
144,34,0.0
144,40,0.0
144,140,0.0
145,10,0.0
145,16,0.0
145,22,0.0
145,28,0.0
145,34,0.0
145,40,0.0
145,140,0.0
146,10,0.0
146,16,0.0
146,22,0.0
146,28,0.0
146,34,0.0
146,40,0.0
146,140,0.0
147,10,0.0
147,16,0.0
147,22,0.0
147,28,0.0
147,34,0.0
147,40,0.0
147,140,0.0
148,10,0.0
148,16,0.0
148,22,0.0
148,28,0.0
148,34,0.0
148,40,0.0
148,140,0.0
149,10,0.0
149,16,0.0
149,22,0.0
149,28,0.0
149,34,0.0
149,40,0.0
149,140,0.0
150,10,0.0
150,16,0.0
150,22,0.0
150,28,0.0
150,34,0.0
150,40,0.0
150,140,0.0
151,10,0.0
151,16,0.0
151,22,0.0
151,28,0.0
151,34,0.0
151,40,0.0
151,140,0.0
152,10,0.0
152,16,0.0
152,22,0.0
152,28,0.0
152,34,0.0
152,40,0.0
152,140,0.0
153,10,0.013723131024986101
153,16,0.030019829605696293
153,22,0.06028539957059993
153,28,0.07310543051606783
153,34,0.09714314928075399
153,40,0.1155935531248722
153,140,0.2004879938067048
154,10,-0.000908324521633892
154,16,0.004626671333969827
154,22,0.008270625421824789
154,28,0.009785806087745336
154,34,0.01425150935687819
154,40,0.03025477404153597
154,140,0.06053312842376843
155,10,-0.006536273493300104
155,16,0.008941459240676424
155,22,0.009456206728118068
155,28,0.022227297381447995
155,34,0.02602033965381283
155,40,0.03627447542982767
155,140,-0.06134388449231703
156,10,-0.020217736803447458
156,16,-0.022728441188086205
156,22,-0.02033173822346614
156,28,-0.045755374425588934
156,34,-0.06351114930691705
156,40,-0.07898885314813407
156,140,-0.279768087928627
157,10,-0.01682914492761665
157,16,-0.014455466445443934
157,22,-0.009112414235060862
157,28,-0.0026451310621113727
157,34,-0.005098444828159202
157,40,-0.006349004790133277
157,140,-0.07409525883633493
158,10,-0.003991570206232646
158,16,-0.03415442698151422
158,22,-0.013272162357634395
158,28,-0.009990442033729886
158,34,-0.035637986330453474
158,40,-0.042982492039771905
158,140,0.11078728481417911
159,10,0.0
159,16,0.0
159,22,0.0
159,28,0.0
159,34,0.0
159,40,0.0
159,140,0.0
160,10,0.0
160,16,0.0
160,22,0.0
160,28,0.0
160,34,0.0
160,40,0.0
160,140,0.0
161,10,0.0
161,16,0.0
161,22,0.0
161,28,0.0
161,34,0.0
161,40,0.0
161,140,0.0
162,10,0.0
162,16,0.0
162,22,0.0
162,28,0.0
162,34,0.0
162,40,0.0
162,140,0.0
163,10,0.0
163,16,0.0
163,22,0.0
163,28,0.0
163,34,0.0
163,40,0.0
163,140,0.0
164,10,0.0
164,16,0.0
164,22,0.0
164,28,0.0
164,34,0.0
164,40,0.0
164,140,0.0
165,10,0.0
165,16,0.0
165,22,0.0
165,28,0.0
165,34,0.0
165,40,0.0
165,140,0.0
166,10,0.0
166,16,0.0
166,22,0.0
166,28,0.0
166,34,0.0
166,40,0.0
166,140,0.0
167,10,0.0
167,16,0.0
167,22,0.0
167,28,0.0
167,34,0.0
167,40,0.0
167,140,0.0
168,10,0.0
168,16,0.0
168,22,0.0
168,28,0.0
168,34,0.0
168,40,0.0
168,140,0.0
169,10,0.0
169,16,0.0
169,22,0.0
169,28,0.0
169,34,0.0
169,40,0.0
169,140,0.0
170,10,0.0
170,16,0.0
170,22,0.0
170,28,0.0
170,34,0.0
170,40,0.0
170,140,0.0
171,10,0.0
171,16,0.0
171,22,0.0
171,28,0.0
171,34,0.0
171,40,0.0
171,140,0.0
172,10,0.0
172,16,0.0
172,22,0.0
172,28,0.0
172,34,0.0
172,40,0.0
172,140,0.0
173,10,0.0
173,16,0.0
173,22,0.0
173,28,0.0
173,34,0.0
173,40,0.0
173,140,0.0
174,10,0.0
174,16,0.0
174,22,0.0
174,28,0.0
174,34,0.0
174,40,0.0
174,140,0.0
175,10,0.0
175,16,0.0
175,22,0.0
175,28,0.0
175,34,0.0
175,40,0.0
175,140,0.0
176,10,0.018408868480816857
176,16,0.018788379658605615
176,22,0.04018960808215449
176,28,0.037836702853643225
176,34,0.0674323594428342
176,40,0.08081792644743889
176,140,0.20338087009266273
177,10,-0.002882807980791294
177,16,0.02082977346831937
177,22,0.04003543987438409
177,28,0.06916282827929092
177,34,0.08495724505830637
177,40,0.10890798818417148
177,140,0.032327820367230885
178,10,0.0014368830754568497
178,16,0.013883659572832425
178,22,0.030144075801681
178,28,0.046993076162493964
178,34,0.09192510216063135
178,40,0.10771166044590204
178,140,0.14570791809841618
179,10,0.0
179,16,0.0
179,22,0.0
179,28,0.0
179,34,0.0
179,40,0.0
179,140,0.0
180,10,0.0
180,16,0.0
180,22,0.0
180,28,0.0
180,34,0.0
180,40,0.0
180,140,0.0
181,10,0.0
181,16,0.0
181,22,0.0
181,28,0.0
181,34,0.0
181,40,0.0
181,140,0.0
182,10,0.0
182,16,0.0
182,22,0.0
182,28,0.0
182,34,0.0
182,40,0.0
182,140,0.0
183,10,0.0
183,16,0.0
183,22,0.0
183,28,0.0
183,34,0.0
183,40,0.0
183,140,0.0
184,10,0.0
184,16,0.0
184,22,0.0
184,28,0.0
184,34,0.0
184,40,0.0
184,140,0.0
185,10,0.0
185,16,0.0
185,22,0.0
185,28,0.0
185,34,0.0
185,40,0.0
185,140,0.0
186,10,0.0
186,16,0.0
186,22,0.0
186,28,0.0
186,34,0.0
186,40,0.0
186,140,0.0
187,10,0.0
187,16,0.0
187,22,0.0
187,28,0.0
187,34,0.0
187,40,0.0
187,140,0.0
188,10,0.0
188,16,0.0
188,22,0.0
188,28,0.0
188,34,0.0
188,40,0.0
188,140,0.0
189,10,0.0
189,16,0.0
189,22,0.0
189,28,0.0
189,34,0.0
189,40,0.0
189,140,0.0
190,10,0.0
190,16,0.0
190,22,0.0
190,28,0.0
190,34,0.0
190,40,0.0
190,140,0.0
191,10,0.0
191,16,0.0
191,22,0.0
191,28,0.0
191,34,0.0
191,40,0.0
191,140,0.0
192,10,0.0
192,16,0.0
192,22,0.0
192,28,0.0
192,34,0.0
192,40,0.0
192,140,0.0
193,10,0.0
193,16,0.0
193,22,0.0
193,28,0.0
193,34,0.0
193,40,0.0
193,140,0.0
194,10,0.0
194,16,0.0
194,22,0.0
194,28,0.0
194,34,0.0
194,40,0.0
194,140,0.0
195,10,0.0
195,16,0.0
195,22,0.0
195,28,0.0
195,34,0.0
195,40,0.0
195,140,0.0
196,10,0.0
196,16,0.0
196,22,0.0
196,28,0.0
196,34,0.0
196,40,0.0
196,140,0.0
197,10,0.0
197,16,0.0
197,22,0.0
197,28,0.0
197,34,0.0
197,40,0.0
197,140,0.0
198,10,0.0
198,16,0.0
198,22,0.0
198,28,0.0
198,34,0.0
198,40,0.0
198,140,0.0
199,10,0.0
199,16,0.0
199,22,0.0
199,28,0.0
199,34,0.0
199,40,0.0
199,140,0.0
200,10,0.0
200,16,0.0
200,22,0.0
200,28,0.0
200,34,0.0
200,40,0.0
200,140,0.0
201,10,0.0
201,16,0.0
201,22,0.0
201,28,0.0
201,34,0.0
201,40,0.0
201,140,0.0
202,10,0.0
202,16,0.0
202,22,0.0
202,28,0.0
202,34,0.0
202,40,0.0
202,140,0.0
203,10,0.0
203,16,0.0
203,22,0.0
203,28,0.0
203,34,0.0
203,40,0.0
203,140,0.0
204,10,0.0
204,16,0.0
204,22,0.0
204,28,0.0
204,34,0.0
204,40,0.0
204,140,0.0
205,10,0.0
205,16,0.0
205,22,0.0
205,28,0.0
205,34,0.0
205,40,0.0
205,140,0.0
206,10,0.0
206,16,0.0
206,22,0.0
206,28,0.0
206,34,0.0
206,40,0.0
206,140,0.0
207,10,0.0
207,16,0.0
207,22,0.0
207,28,0.0
207,34,0.0
207,40,0.0
207,140,0.0
208,10,0.0
208,16,0.0
208,22,0.0
208,28,0.0
208,34,0.0
208,40,0.0
208,140,0.0
209,10,0.0
209,16,0.0
209,22,0.0
209,28,0.0
209,34,0.0
209,40,0.0
209,140,0.0
210,10,0.0
210,16,0.0
210,22,0.0
210,28,0.0
210,34,0.0
210,40,0.0
210,140,0.0
211,10,0.0
211,16,0.0
211,22,0.0
211,28,0.0
211,34,0.0
211,40,0.0
211,140,0.0
212,10,0.0
212,16,0.0
212,22,0.0
212,28,0.0
212,34,0.0
212,40,0.0
212,140,0.0
213,10,0.0
213,16,0.0
213,22,0.0
213,28,0.0
213,34,0.0
213,40,0.0
213,140,0.0
214,10,0.0
214,16,0.0
214,22,0.0
214,28,0.0
214,34,0.0
214,40,0.0
214,140,0.0
215,10,0.011373293739076678
215,16,0.029496785204459718
215,22,0.04099705389862491
215,28,0.040878346778033106
215,34,0.043189434413371544
215,40,0.0463271227305326
215,140,0.6053170090702202
216,10,-0.01721211703026323
216,16,-0.016085166657392375
216,22,-0.010879824399406294
216,28,-0.024954254149204224
216,34,-0.06172184072499422
216,40,-0.06186824307596046
216,140,-0.2257579289535412
217,10,-0.009697347866242403
217,16,-0.014278962345467551
217,22,-0.037033415581963
217,28,-0.054215796834614007
217,34,-0.03267339783467051
217,40,-0.018324451440403174
217,140,-0.08846377154506302
218,10,0.04411067789312048
218,16,0.09439340518896915
218,22,0.18942366254031945
218,28,0.24639173384466834
218,34,0.2793272617343396
218,40,0.3481243101259147
218,140,0.9889280275339847
219,10,0.023242681243154376
219,16,0.03374607291330983
219,22,0.043615955021417706
219,28,0.06335781768432083
219,34,0.07236679419119797
219,40,0.08459062507019127
219,140,0.2892290334869788
220,10,-0.027210309054744874
220,16,-0.03467757295701448
220,22,-0.04501272361249104
220,28,-0.04730967600123462
220,34,-0.0594116882393146
220,40,-0.0687591142879369
220,140,-0.13779385233908706
221,10,-0.01582386012269092
221,16,-0.028299100074266316
221,22,-0.06465531764301258
221,28,-0.042722097166895366
221,34,-0.06560247455104742
221,40,-0.06968448031314346
221,140,-0.17655783300661684
222,10,0.02672505108949905
222,16,0.030652678789704214
222,22,0.0758864711014686
222,28,0.13310076327182316
222,34,0.22933467829322074
222,40,0.26942405563071775
222,140,0.6673116108520657
223,10,-0.0012864093946154545
223,16,0.02267067573435154
223,22,0.034145392069708826
223,28,0.05682077737402227
223,34,0.043038720007308184
223,40,0.07349638420816072
223,140,0.22036779283277022
224,10,0.0
224,16,0.0
224,22,0.0
224,28,0.0
224,34,0.0
224,40,0.0
224,140,0.0
225,10,0.0
225,16,0.0
225,22,0.0
225,28,0.0
225,34,0.0
225,40,0.0
225,140,0.0
226,10,0.0
226,16,0.0
226,22,0.0
226,28,0.0
226,34,0.0
226,40,0.0
226,140,0.0
227,10,0.0
227,16,0.0
227,22,0.0
227,28,0.0
227,34,0.0
227,40,0.0
227,140,0.0
228,10,0.0
228,16,0.0
228,22,0.0
228,28,0.0
228,34,0.0
228,40,0.0
228,140,0.0
229,10,0.0
229,16,0.0
229,22,0.0
229,28,0.0
229,34,0.0
229,40,0.0
229,140,0.0
230,10,0.0
230,16,0.0
230,22,0.0
230,28,0.0
230,34,0.0
230,40,0.0
230,140,0.0
231,10,0.0
231,16,0.0
231,22,0.0
231,28,0.0
231,34,0.0
231,40,0.0
231,140,0.0
232,10,0.0
232,16,0.0
232,22,0.0
232,28,0.0
232,34,0.0
232,40,0.0
232,140,0.0
233,10,0.0
233,16,0.0
233,22,0.0
233,28,0.0
233,34,0.0
233,40,0.0
233,140,0.0
234,10,0.0
234,16,0.0
234,22,0.0
234,28,0.0
234,34,0.0
234,40,0.0
234,140,0.0
